respondent_id,study_plan,focus_time,assignment_pace,sleep_duration,sleep_consistency,restedness,deadline_pressure,test_anxiety,overload,gpa_proxy,exam_score,project_score
1.0,4.478,3.915,4.694,5.684,5.559,5.362,5.213,4.684,6.016,2.339,2.671,1.132
2.0,5.84,4.281,5.699,5.247,4.859,4.62,2.614,3.39,2.505,5.114,4.467,5.249
3.0,4.327,4.258,4.453,2.405,4.13,3.692,3.951,5.225,3.668,2.864,3.744,3.49
4.0,1.38,2.655,3.349,2.247,3.12,2.071,4.811,5.831,5.692,2.111,2.261,2.886
5.0,4.404,4.496,3.884,3.327,3.657,2.936,4.351,5.453,4.26,4.276,4.803,3.801
6.0,3.182,2.086,4.162,4.735,2.83,4.622,4.866,5.872,5.529,2.9,2.015,2.451
7.0,6.471,5.229,3.815,5.13,4.811,4.318,3.349,2.624,2.298,5.094,6.3,6.473
8.0,1.981,2.985,3.298,5.459,5.205,6.489,1.0,2.204,1.0,4.671,5.394,4.267
9.0,3.478,3.088,2.809,3.168,4.652,3.837,5.024,4.572,4.097,3.219,3.536,3.424
10.0,3.202,4.823,3.755,2.548,2.718,3.465,6.326,6.321,6.091,2.961,3.232,2.261
11.0,5.871,4.844,5.123,4.502,3.957,3.343,4.691,4.356,4.406,2.72,2.921,2.17
12.0,3.063,2.785,3.37,4.019,4.351,4.584,4.912,4.398,5.337,3.049,2.88,3.457
13.0,4.609,4.269,3.95,2.762,3.082,2.489,6.048,5.748,6.936,1.486,1.53,1.932
14.0,5.817,6.194,5.291,4.562,4.135,3.325,3.218,2.943,2.751,5.513,5.006,5.918
15.0,5.058,5.547,5.437,4.597,4.333,4.213,2.979,3.332,2.609,5.061,5.897,4.865
16.0,6.519,4.743,5.426,3.949,3.921,4.943,2.231,2.14,2.042,7.0,7.0,7.0
17.0,3.008,3.3,4.783,3.396,2.703,3.334,4.861,4.701,4.729,3.979,3.725,4.065
18.0,3.908,2.881,3.292,2.637,4.367,4.441,4.741,4.599,4.998,4.269,2.956,3.362
19.0,4.979,4.525,3.939,3.987,4.01,4.283,4.149,3.41,4.332,4.198,4.138,4.425
20.0,3.365,3.037,2.705,2.92,3.738,3.772,5.476,5.271,5.969,3.509,3.387,3.223
21.0,2.871,3.263,5.123,5.122,5.635,5.468,4.121,3.59,5.104,4.129,3.384,3.13
22.0,5.279,5.245,5.934,5.195,5.214,5.766,1.724,3.026,2.408,6.322,7.0,6.837
23.0,5.201,5.075,5.476,2.61,2.405,1.92,4.868,4.627,3.632,3.269,3.476,3.683
24.0,4.275,5.657,4.371,6.124,4.575,4.538,4.078,4.129,4.171,5.19,5.834,4.861
25.0,3.101,3.81,3.619,2.903,3.461,3.805,3.105,3.867,3.226,4.267,4.128,4.303
26.0,3.058,2.767,3.512,4.302,2.65,3.897,2.803,3.706,3.056,4.782,5.254,4.549
27.0,4.477,4.09,4.027,4.545,5.01,5.268,4.22,4.259,4.905,4.507,5.887,4.249
28.0,5.055,3.294,2.981,4.701,4.348,5.309,5.306,5.352,4.662,5.437,4.516,3.878
29.0,3.206,4.54,3.565,5.429,4.576,5.05,5.347,3.431,4.012,5.154,5.972,6.347
30.0,3.584,4.077,4.366,4.716,5.333,3.756,2.472,3.564,3.737,5.066,4.843,5.212
31.0,3.433,4.325,4.51,2.949,3.826,3.448,3.951,3.131,3.825,3.687,3.266,4.627
32.0,4.437,4.002,4.804,5.58,4.055,4.139,3.337,2.966,3.771,4.525,5.296,3.652
33.0,3.911,6.075,5.561,2.153,1.972,2.984,4.007,3.176,4.481,4.684,3.931,4.507
34.0,3.088,4.547,4.071,2.702,4.206,4.139,4.647,4.97,4.463,1.583,2.177,1.323
35.0,3.005,3.665,2.008,4.188,3.73,3.525,4.237,4.305,5.417,3.472,3.681,3.201
36.0,4.42,4.774,4.676,3.671,2.949,2.131,4.229,4.311,4.413,5.84,4.903,5.928
37.0,4.233,3.768,3.904,4.235,4.261,3.467,3.52,3.97,2.876,3.806,3.151,3.548
38.0,3.351,3.714,4.245,3.226,2.83,4.986,4.884,5.865,5.251,4.048,3.315,3.962
39.0,4.829,4.308,3.894,5.778,4.453,4.975,3.732,2.617,2.68,5.073,4.315,5.293
40.0,4.871,3.284,3.723,3.489,4.629,4.533,4.609,4.467,4.035,4.595,4.157,3.262
41.0,3.047,2.711,3.429,3.454,3.155,3.145,4.989,6.221,4.256,1.953,1.632,1.346
42.0,4.849,5.448,2.899,3.025,1.535,2.848,3.391,3.527,4.493,4.43,4.581,5.336
43.0,3.484,5.07,3.66,4.039,3.628,3.217,4.504,5.29,4.753,3.336,3.08,2.793
44.0,3.199,3.427,2.679,4.146,5.228,5.431,3.918,3.559,3.11,4.537,3.69,3.999
45.0,2.534,2.506,2.03,2.151,1.018,2.683,6.527,5.984,7.0,2.026,1.811,1.0
46.0,4.08,3.829,3.205,3.003,4.03,4.302,5.361,4.612,6.24,3.578,4.869,3.339
47.0,4.524,4.69,4.099,4.432,5.567,5.581,3.764,3.882,5.191,5.116,5.659,6.56
48.0,3.211,4.337,4.576,5.22,5.715,6.053,2.904,2.584,3.266,5.469,5.751,6.319
49.0,3.65,3.056,4.129,5.011,4.804,4.658,4.056,4.139,3.933,3.879,3.275,2.978
50.0,4.032,4.845,4.024,4.939,5.584,4.485,3.077,2.229,1.07,4.906,4.732,5.512
51.0,2.937,3.227,2.754,3.141,2.772,3.342,3.68,5.391,3.834,3.459,3.345,3.689
52.0,2.722,2.822,3.157,3.815,3.207,3.139,3.752,3.366,3.465,3.685,3.405,4.787
53.0,5.372,5.809,5.576,5.235,4.665,4.192,2.978,2.064,2.42,5.841,6.248,4.544
54.0,3.751,3.286,3.41,4.469,2.187,3.58,4.071,4.492,3.88,3.533,4.049,2.771
55.0,2.464,2.646,2.882,3.422,3.918,3.598,4.849,5.074,4.013,2.83,3.85,2.89
56.0,4.43,3.063,3.315,3.217,3.438,3.796,4.707,4.875,4.811,3.987,3.613,3.883
57.0,5.164,3.207,5.85,4.556,3.703,4.425,4.845,4.747,5.034,4.581,4.034,4.292
58.0,5.3,4.009,4.349,3.192,4.345,3.604,5.111,5.416,5.769,3.907,4.074,4.645
59.0,4.241,3.791,3.235,3.35,3.148,4.103,4.985,4.963,3.881,4.925,4.555,5.46
60.0,4.559,4.371,3.755,3.943,4.033,5.287,5.422,3.77,4.102,2.683,3.574,3.413
61.0,3.251,3.936,4.227,4.351,3.035,3.524,4.464,4.518,4.107,2.703,1.981,3.612
62.0,4.154,3.896,5.057,3.443,4.345,4.052,3.198,3.481,3.227,5.568,5.445,5.084
63.0,2.619,3.479,3.201,3.192,3.76,3.431,4.952,5.454,5.102,2.619,3.036,3.179
64.0,4.746,5.406,5.305,2.052,2.233,2.116,4.564,3.76,3.8,4.712,4.366,5.15
65.0,3.576,4.732,2.872,5.5,5.162,5.378,3.949,3.842,4.42,2.216,2.447,2.624
66.0,6.81,7.0,6.528,4.938,4.339,5.076,2.345,2.374,2.36,6.481,6.613,6.52
67.0,3.386,3.467,3.153,4.375,4.327,4.382,5.284,5.323,5.235,2.865,3.017,2.179
68.0,4.134,4.118,3.646,4.928,5.208,5.171,4.042,4.086,3.878,3.836,3.814,3.468
69.0,4.842,4.484,4.742,4.157,3.753,3.723,5.933,5.222,4.944,4.516,3.993,4.76
70.0,3.893,3.615,4.062,4.456,3.015,4.733,4.781,4.871,4.848,2.536,3.185,2.88
71.0,2.945,4.112,2.782,2.283,2.592,1.408,5.283,5.603,5.793,1.724,1.608,1.0
72.0,3.403,3.13,1.926,4.381,4.089,3.777,6.241,5.818,5.119,1.0,1.827,1.572
73.0,4.485,3.849,4.284,3.705,1.779,2.208,4.776,3.671,4.178,3.486,3.857,2.312
74.0,4.672,5.612,4.188,3.748,3.49,4.101,3.975,3.741,4.038,5.753,5.297,5.341
75.0,4.171,4.114,3.606,1.777,3.44,2.039,4.026,4.682,5.114,2.108,3.715,2.054
76.0,2.588,2.711,2.866,3.201,2.878,2.953,4.174,4.72,3.357,3.739,3.706,3.047
77.0,2.829,2.715,3.125,2.378,1.87,2.491,3.801,4.501,4.867,2.019,2.722,2.173
78.0,3.169,2.622,3.066,4.893,4.033,2.525,4.041,3.734,3.136,4.307,4.332,3.663
79.0,3.984,3.289,4.074,3.119,2.394,2.673,6.443,5.265,6.201,2.026,1.0,1.984
80.0,4.43,3.873,4.388,4.596,5.205,4.604,3.229,3.57,3.287,5.12,4.427,4.164
81.0,3.015,3.463,3.669,4.738,5.13,4.468,4.56,4.699,3.838,4.381,4.43,4.584
82.0,2.536,1.988,2.095,3.299,2.736,3.014,4.708,3.603,5.1,2.779,3.824,3.066
83.0,4.601,4.291,3.918,4.823,4.177,5.298,4.174,4.621,4.127,4.211,4.435,4.647
84.0,3.747,3.097,3.249,3.568,4.484,3.913,4.739,3.458,4.136,3.169,1.394,2.557
85.0,3.9,4.496,4.135,3.958,3.753,3.022,3.644,4.089,3.534,2.742,3.265,3.122
86.0,5.892,4.437,5.259,3.337,4.631,4.134,4.818,4.415,4.347,4.004,5.339,3.952
87.0,5.015,4.055,4.194,3.344,4.48,3.732,2.582,2.862,2.794,2.43,1.644,3.02
88.0,4.38,3.742,4.256,4.866,4.615,4.783,2.808,3.176,2.076,4.964,4.995,4.784
89.0,3.992,5.024,3.687,4.676,3.871,3.461,3.417,3.903,3.46,4.481,3.854,3.641
90.0,4.235,4.904,5.632,3.881,4.407,4.45,5.829,4.229,4.563,3.529,3.809,3.975
91.0,4.024,2.906,4.335,2.187,2.842,3.157,4.538,4.441,5.331,3.954,3.505,3.754
92.0,3.622,4.7,3.455,4.741,3.352,4.354,3.545,3.437,4.039,3.571,4.708,4.238
93.0,5.385,5.413,4.58,1.407,2.241,1.543,3.239,3.311,3.981,3.873,3.492,3.007
94.0,6.03,4.163,5.152,4.448,3.75,4.986,4.918,4.716,4.634,3.807,3.186,3.678
95.0,3.203,3.191,3.643,3.091,2.255,2.004,5.45,6.076,5.27,3.4,3.738,2.945
96.0,4.161,3.589,4.329,3.973,3.517,4.162,3.724,3.974,3.425,3.951,3.509,3.826
97.0,3.465,3.031,3.847,3.757,4.726,3.82,6.161,5.303,5.233,2.366,2.626,2.962
98.0,4.136,3.398,4.78,3.108,4.44,2.644,3.429,4.524,4.83,4.906,4.548,4.527
99.0,4.163,4.828,4.266,5.203,3.538,4.975,3.428,2.913,3.655,4.835,4.446,4.608
100.0,4.892,5.25,4.022,4.588,3.464,4.681,2.981,2.516,3.159,5.356,5.194,5.337
101.0,3.039,4.0,3.636,2.796,2.625,3.565,3.267,4.208,3.582,4.67,4.389,3.932
102.0,2.549,3.359,3.394,3.563,3.663,3.495,3.849,3.752,2.788,2.168,2.067,3.443
103.0,2.014,3.648,3.093,3.981,5.536,4.493,4.047,3.883,5.084,2.958,2.336,2.973
104.0,3.161,4.197,3.717,4.021,3.422,3.171,4.991,5.113,5.273,2.833,2.153,2.627
105.0,2.806,4.746,3.644,3.3,3.971,4.444,5.834,5.376,5.331,3.221,3.391,3.546
106.0,4.901,4.497,3.184,1.0,1.686,1.494,4.968,5.618,4.434,3.021,2.438,3.302
107.0,2.487,3.554,3.026,2.415,3.301,3.876,3.878,3.318,3.063,3.176,3.921,4.411
108.0,3.526,3.073,2.804,3.754,3.022,2.773,6.075,5.522,5.245,2.796,3.373,2.819
109.0,4.835,3.944,3.941,3.442,3.663,3.988,3.29,3.371,3.8,3.825,5.07,5.493
110.0,3.806,3.246,3.583,4.066,3.746,3.253,3.799,3.468,4.891,3.837,3.988,3.546
111.0,3.697,3.614,5.61,3.477,6.047,3.899,2.149,1.896,1.35,3.719,4.723,3.158
112.0,5.388,4.674,5.472,3.733,3.914,3.437,2.32,2.383,1.804,6.147,5.813,6.774
113.0,5.538,5.064,5.501,4.843,6.313,6.606,1.665,3.068,2.099,6.672,5.263,5.651
114.0,2.741,2.403,1.833,2.847,3.941,3.682,3.904,4.104,3.798,1.677,1.799,2.42
115.0,3.854,4.607,3.057,3.237,4.998,2.772,3.842,4.8,4.968,2.065,1.986,1.816
116.0,4.644,4.052,3.6,3.583,4.124,4.792,4.117,3.64,2.877,2.299,2.22,1.93
117.0,4.383,4.237,3.631,4.385,4.054,4.47,4.738,4.457,4.408,3.729,3.924,4.133
118.0,2.088,2.793,2.102,2.156,3.379,3.008,6.617,6.949,6.171,1.777,1.0,1.472
119.0,5.637,5.907,5.312,4.934,6.086,5.053,3.056,2.695,2.804,4.621,3.905,4.898
120.0,4.275,3.047,2.866,3.621,5.19,4.436,3.326,3.159,2.997,5.006,4.575,4.636
121.0,3.711,2.25,2.773,3.512,3.752,4.176,5.045,4.071,3.732,3.339,2.201,2.791
122.0,3.079,4.562,3.339,4.088,3.175,3.57,2.77,3.496,3.458,4.465,3.61,3.413
123.0,4.641,3.332,3.068,5.147,4.197,4.582,3.706,4.113,4.171,4.053,3.404,3.55
124.0,1.928,2.515,2.82,2.246,3.501,2.99,4.795,5.531,4.463,2.295,3.244,3.19
125.0,3.89,3.989,4.86,3.617,4.991,4.903,4.457,4.173,3.985,5.439,5.065,4.905
126.0,4.574,4.643,4.765,5.696,4.599,5.128,3.753,3.691,2.968,4.827,5.373,3.394
127.0,2.649,3.147,3.448,3.754,3.933,3.782,5.324,6.12,5.967,2.368,2.292,1.882
128.0,3.398,2.731,2.749,2.804,2.927,2.641,5.464,4.582,4.903,1.201,1.0,1.016
129.0,5.692,4.337,4.475,5.51,3.709,4.854,2.604,3.092,2.194,4.324,5.868,5.142
130.0,4.29,4.612,5.622,4.097,3.917,3.981,1.053,2.126,2.64,6.645,6.443,7.0
131.0,3.317,4.421,3.543,4.037,5.001,5.029,2.231,2.25,2.578,5.456,5.424,4.533
132.0,5.42,5.432,5.549,5.369,5.283,5.186,3.537,4.137,3.663,5.434,5.102,4.847
133.0,4.841,2.74,3.485,3.459,3.165,4.148,5.394,5.355,5.595,3.597,4.065,3.245
134.0,3.81,3.26,4.652,3.574,3.097,3.407,3.989,3.398,2.443,2.311,3.734,2.644
135.0,4.297,2.8,2.736,5.197,5.712,3.952,4.105,2.645,3.286,4.364,4.226,2.826
136.0,3.511,3.306,3.609,2.407,2.446,2.272,4.235,4.406,4.267,2.757,4.022,2.864
137.0,5.533,5.705,5.753,3.803,4.361,4.275,3.809,2.923,3.994,5.839,5.462,6.477
138.0,3.962,5.544,4.236,3.412,2.419,3.818,4.427,4.67,3.892,3.137,4.598,4.739
139.0,5.284,4.891,3.764,2.787,2.815,2.825,4.176,4.803,3.916,2.139,2.719,2.374
140.0,4.155,5.705,4.437,4.993,4.226,5.406,5.295,4.942,6.845,2.5,3.288,4.001
141.0,5.475,4.272,4.92,5.692,5.865,6.452,4.282,3.451,3.057,6.533,4.027,3.884
142.0,4.303,4.92,3.881,3.913,1.948,1.451,5.868,6.227,4.862,2.83,3.665,3.394
143.0,4.868,5.094,4.677,2.455,3.193,3.64,4.924,4.723,3.886,5.159,5.357,4.761
144.0,2.982,4.585,4.297,4.131,4.222,3.703,4.552,4.285,4.1,5.644,4.188,4.883
145.0,4.539,3.263,3.802,3.703,3.46,3.621,4.078,3.179,4.954,4.243,4.749,4.852
146.0,3.842,5.076,4.441,3.247,3.65,3.592,3.577,3.964,2.953,3.962,3.461,3.424
147.0,1.0,1.386,1.215,3.371,2.507,3.003,6.806,6.197,5.339,2.792,2.236,2.945
148.0,5.096,3.796,4.524,3.872,5.168,4.087,4.232,3.494,3.994,4.827,4.777,4.626
149.0,4.67,5.27,4.963,5.989,6.083,6.135,3.215,2.636,3.529,6.067,5.036,6.115
150.0,3.24,3.135,4.476,5.071,4.332,6.475,3.814,3.867,4.607,2.994,3.593,3.941
151.0,3.886,3.915,2.622,4.656,3.927,4.417,3.906,3.932,3.443,2.511,3.262,3.394
152.0,5.367,3.953,5.354,6.722,5.316,5.58,4.448,3.119,3.651,4.136,4.077,3.81
153.0,5.007,3.028,3.459,3.934,4.156,3.596,3.682,3.622,4.237,4.68,3.576,4.516
154.0,4.608,4.013,3.994,4.345,3.683,3.304,3.16,3.963,3.195,5.02,4.017,5.158
155.0,4.93,5.413,5.263,4.612,4.889,4.297,2.621,2.893,1.492,6.488,6.125,5.899
156.0,2.288,3.072,3.236,5.346,4.897,4.689,3.886,3.814,4.172,4.482,4.853,3.576
157.0,4.029,3.267,4.576,3.452,3.64,4.656,6.471,5.948,5.959,3.083,2.129,2.418
158.0,3.637,5.035,5.802,2.765,3.118,3.72,4.57,4.036,4.014,4.204,4.298,4.864
159.0,3.456,4.625,3.671,3.374,3.111,3.561,4.447,4.503,3.027,3.592,3.149,2.899
160.0,2.573,3.728,2.756,3.941,4.398,3.72,5.072,4.657,5.736,3.812,4.287,2.794
161.0,4.231,4.461,4.955,3.838,3.503,2.856,1.931,2.73,2.82,4.797,3.845,4.344
162.0,3.822,2.469,3.839,3.934,3.031,2.676,4.474,4.839,5.496,3.225,1.752,2.591
163.0,4.991,3.915,3.331,2.945,3.507,3.463,2.853,3.662,3.214,4.328,2.603,3.533
164.0,2.119,2.897,3.512,3.409,3.691,3.827,2.696,3.177,3.015,3.026,2.429,3.367
165.0,2.538,2.073,2.829,3.043,2.781,3.336,3.906,4.607,3.999,3.815,2.944,3.532
166.0,3.101,3.556,2.494,1.939,1.996,2.027,6.633,7.0,6.278,3.026,3.114,2.907
167.0,4.071,4.239,4.464,2.807,2.477,4.402,3.418,3.467,4.66,4.948,2.895,4.238
168.0,4.392,3.508,3.894,3.427,4.235,3.186,4.156,4.427,2.874,2.342,1.698,1.467
169.0,3.534,3.823,4.906,4.499,4.704,3.257,3.531,4.471,4.799,4.863,4.789,5.448
170.0,1.982,2.8,3.453,1.504,1.767,2.954,5.686,5.336,5.345,2.024,3.043,2.904
171.0,4.253,3.874,4.083,4.056,2.965,3.919,1.981,2.411,3.238,5.611,4.394,4.454
172.0,4.262,5.645,4.062,4.227,5.84,5.882,2.469,1.973,2.54,5.677,5.44,5.879
173.0,3.27,3.317,2.54,4.681,4.914,3.517,5.189,4.598,5.22,3.36,3.315,3.366
174.0,4.438,3.909,4.236,4.066,4.027,4.315,4.384,4.02,5.286,4.718,3.94,4.578
175.0,3.382,3.867,4.208,3.508,4.306,3.647,3.973,2.943,4.007,3.437,2.941,3.052
176.0,3.534,3.526,3.045,4.174,5.512,3.862,5.096,4.739,5.434,4.864,4.619,4.718
177.0,5.393,5.056,6.099,2.894,2.847,3.522,3.799,4.4,4.286,3.712,4.768,3.774
178.0,3.908,3.548,3.436,4.624,4.064,3.492,5.306,4.787,4.843,2.354,1.821,2.095
179.0,3.107,3.872,4.333,1.923,2.486,2.449,5.185,4.634,4.359,3.469,4.25,2.871
180.0,3.622,3.417,2.84,4.447,4.734,5.032,5.447,4.61,3.705,3.665,3.771,3.83
181.0,4.497,4.304,3.938,3.732,4.415,3.908,2.97,3.725,3.308,4.223,4.705,4.438
182.0,3.223,4.119,3.415,3.841,4.545,3.567,3.668,3.407,2.334,3.191,4.208,3.707
183.0,3.66,3.63,4.144,5.883,4.33,4.587,4.224,3.399,2.375,5.28,3.904,5.524
184.0,5.356,5.19,5.453,4.53,4.966,4.229,3.773,2.597,2.379,5.287,5.713,5.943
185.0,3.766,4.47,3.245,5.176,5.947,4.706,3.573,2.901,2.56,4.357,5.791,4.807
186.0,6.14,6.42,5.452,3.53,2.904,3.491,2.594,2.275,3.393,6.403,6.811,7.0
187.0,5.35,4.88,3.738,4.66,5.573,5.897,5.106,4.047,5.375,4.89,4.744,4.093
188.0,3.708,3.513,3.661,4.228,5.014,4.99,3.484,3.667,4.323,5.336,5.327,4.706
189.0,4.285,6.225,5.403,4.278,4.93,4.317,2.515,2.545,3.24,3.25,4.78,5.183
190.0,4.08,3.769,4.176,5.873,5.118,4.634,1.186,2.175,3.226,5.983,6.561,6.404
191.0,4.046,3.921,2.773,3.252,3.083,2.422,3.008,2.625,2.486,6.05,5.388,6.185
192.0,4.439,4.38,5.013,5.037,5.432,5.87,3.949,3.538,3.479,4.757,3.871,4.553
193.0,2.811,3.632,2.872,3.449,3.529,4.771,5.596,5.09,4.617,2.317,2.948,1.636
194.0,2.209,1.711,1.905,3.796,2.828,2.697,3.751,5.376,4.262,3.618,5.045,3.629
195.0,4.232,3.615,3.771,4.02,4.148,3.86,2.864,2.504,3.399,4.165,4.482,4.782
196.0,3.593,3.798,4.562,4.074,4.007,4.536,5.665,4.548,5.541,3.02,2.543,3.338
197.0,3.39,3.657,4.823,4.392,4.262,3.702,2.243,2.183,1.115,6.212,6.739,4.998
198.0,3.502,3.192,3.715,4.908,4.981,3.87,4.04,4.319,3.471,5.896,5.517,5.033
199.0,3.32,2.258,4.128,4.031,3.847,3.976,3.266,2.571,4.379,3.54,4.725,4.006
200.0,2.711,3.616,3.353,5.268,4.587,4.237,3.385,4.83,4.375,2.794,2.155,2.664
201.0,2.789,5.284,4.413,4.245,4.93,4.356,3.236,4.857,4.123,4.224,4.612,3.576
202.0,3.26,3.282,2.927,3.457,4.663,4.732,4.932,5.383,5.46,2.489,2.981,2.475
203.0,5.624,4.943,3.908,3.845,3.511,5.273,4.467,3.864,3.177,4.519,3.999,3.973
204.0,4.604,4.706,4.809,5.265,5.257,4.988,3.393,3.77,3.012,4.862,4.789,4.914
205.0,4.149,4.31,4.041,5.608,5.564,5.507,2.828,1.5,1.873,6.546,4.79,4.139
206.0,5.216,3.195,4.457,3.825,3.262,4.35,5.563,5.318,4.759,2.706,3.262,2.959
207.0,5.411,5.949,5.959,3.486,3.605,3.455,4.009,3.083,3.44,5.537,5.482,5.608
